Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA
Date,,,,,,,,,,,,,,,
2025-09-26,254.73931884765625,508.2411804199219,177.96302795410156,256.87328100426123,510.70558375978015,179.54101721374016,253.06405044687503,503.4316440082871,174.70717071687335,253.38315498635407,506.849997214163,177.94304916264082,46076300,16213100,148573700
2025-09-29,253.71221923828125,511.3613586425781,181.6183624267578,254.28061851263055,513.5971983462931,183.76561762390497,252.29622703166862,505.6773863749633,180.09031258631592,253.84185736381545,508.28089264453985,180.2001578366391,40127700,17617800,193063500
2025-09-30,253.9116668701172,514.6903686523438,186.3423309326172,255.1980209495745,514.8990082310244,187.11135435179565,252.39595068950493,506.45253207823936,181.2488213615314,254.1410137555297,510.0099885223437,181.848063160254,37704300,19728200,236981000
2025-10-01,254.72935485839844,516.439208984375,187.0015106201172,258.05994405161016,517.2341620265153,187.9003581593927,254.21081755391603,508.4696637232757,183.665753326035,254.3205078449461,511.5600762745242,185.00405809785752,48713900,22632300,173844900
2025-10-02,256.40460205078125,512.4942626953125,188.64939880371094,257.45162766856953,518.3173691617891,190.80665113886596,253.43299812845933,507.4661094259624,187.82045419605362,255.85613542550084,514.3823296081488,189.35850113919957,42630200,21222900,136805800
2025-10-03,257.2920837402344,514.0940551757812,187.38099670410156,258.5086431914624,517.2143082734997,190.11751186051177,253.23357360959045,511.75886906280147,185.1438598655547,253.9515436206674,513.8456285403139,188.94900408551683,49155600,15112300,137596900
2025-10-06,255.96585083007812,525.2435302734375,185.3036651611328,258.3391414491699,527.6880704621805,186.99151499327596,254.33047806472084,514.9387971845453,183.09648864167906,257.2621712100349,515.3461902238155,185.26372281570642,44664100,21388600,157678100
2025-10-07,255.75643920898438,520.682373046875,184.80429077148438,256.67382669789566,526.4657528279373,188.8191743935438,254.70938317067183,518.1583800775612,183.76562222076905,256.0854948355218,524.9652461341774,185.99277739696944,31955800,14615200,140088000
2025-10-08,257.3320007324219,521.5468139648438,188.86911010742188,257.7906945345413,523.6336339322414,189.35849142592937,255.38748958216482,519.7979415330736,186.30237648821537,255.79633660873378,519.9867481874902,186.33235229407293,36496900,13363400,130168900
2025-10-09,253.3233184814453,519.1123046875,192.32470703125,257.2721535801604,521.0301509722098,195.05122522476873,252.42586356688122,514.143772141299,190.816620752273,257.082687156571,519.0526847229869,191.9851285494953,38322000,18343600,182997200
2025-10-10,244.57806396484375,507.74432373046875,182.92669677734375,255.6567217403356,520.2849266906686,195.37081685366852,243.3116425485481,506.42270727517143,181.81811007166195,254.2207817432353,516.3697201998212,193.26350393527704,61999100,24133800,268774400
2025-10-13,246.96131896972656,510.81488037109375,188.08013916015625,248.98559082884384,513.1600134586593,189.86785248459339,244.86723728717817,508.45980051307464,185.72314454487463,248.6764678182016,513.1600134586593,187.73057886865314,38142900,14284200,153482800
2025-10-14,247.07101440429688,510.3379211425781,179.80067443847656,248.14796941642882,512.0371813139038,184.56460262310264,244.00966795095763,502.8155546768959,179.47109296765566,245.90431694508948,507.01894463812107,184.5346420566055,35478000,14684300,205641400
2025-10-15,248.63658142089844,510.19879150390625,179.60093688964844,251.10959602979932,513.93513816427,184.63451030281777,246.77186176083558,506.7903850161382,177.06416377208902,248.78616738422895,511.71919177145384,184.56460739230218,33893600,14694700,214450500
2025-10-16,246.75192260742188,508.3902587890625,181.57839965820312,248.33743345063007,513.5972720757079,183.04652832403656,244.43847540742667,504.93217895922305,179.5410050089342,247.54966879270205,509.35418580491137,181.99786281424815,39777000,15559600,179723300
2025-10-17,251.5782470703125,510.3478698730469,182.9866180419922,252.66518358811555,512.235876086287,183.86550198639478,246.57242016484557,504.1173098719632,179.52103686227596,247.3203043073955,505.8364332653001,179.9504818191574,49147000,19867800,173135200
2025-10-20,261.50018310546875,513.5376586914062,182.4073486328125,263.63416054313814,515.4356724346321,184.96408521149223,254.90884523128253,510.1988187679518,181.4985041529273,255.168106265739,511.3713853844849,182.89672994644732,90483000,14665600,128544700
2025-10-21,262.0287170410156,514.4021606445312,180.9292449951172,264.54162761794373,515.4257076122852,182.55715836486127,261.0913663387469,509.81124074780416,179.5709767314294,261.1412435480521,514.2431942660954,182.55715836486127,46695900,15586200,124240200
2025-10-22,257.72088623046875,517.2640380859375,180.05035400390625,262.1084670888602,521.9245247034462,183.20633238125785,254.70938662410154,514.4518919333965,176.53483359319367,261.9090191460537,517.8702452376143,180.9092591258601,45015300,18962700,162249600
2025-10-23,258.8476867675781,517.2838745117188,181.92796325683594,259.8847613495841,520.6525542416625,182.7968501503985,257.28213901467177,515.3461346267313,179.5609718650331,259.206686997747,519.1719411998674,180.19017423035882,32754900,14023500,111363700
2025-10-24,262.07855224609375,520.3146362304688,186.02273559570312,263.3848541030092,522.0436758041421,187.23120099697576,258.44880663072195,517.4329238246899,183.26625678365264,260.4531458541269,519.4997896375017,183.6058200325102,38253700,15532400,131296700
2025-10-27,268.0516662597656,528.1749877929688,191.24609375,268.36078929414754,531.2157277722118,191.75543864774096,263.90339825112477,525.6807743511338,188.18997864549505,264.13276036080543,528.4333612309177,189.74800438556454,44888200,18734700,153452700
2025-10-28,268.2411193847656,538.6585083007812,200.77392578125,269.12862319727753,550.2351530342114,202.8912204382634,267.39351124836816,537.3667019364588,191.66554775855593,268.23113785786586,546.5385938392855,192.8040950113927,41534800,29986700,297986200
2025-10-29,268.93914794921875,538.1417846679688,206.77627563476562,270.6443152614699,542.8321112501552,211.9197249544373,266.35642794866993,533.3521116884923,204.51915980095313,268.5203194424725,541.5104645203966,207.715080745974,51086700,36023000,308829600
2025-10-30,270.63433837890625,522.4512329101562,202.63156127929688,273.36662916750566,531.6032326010347,205.89740027142088,267.72259312931254,518.834126044735,201.1534507471854,271.2226702585742,527.1414993194383,204.88867704045037,69886500,41023100,178864400
2025-10-31,269.6072692871094,514.5512084960938,202.23207092285156,276.53767519933945,525.9887810857076,207.70508615602077,268.40069127196034,511.85824179468614,201.81260775338424,276.2085891024436,525.5515477587454,206.18701808603035,86167100,34006400,179802200
2025-11-03,268.29095458984375,513.776123046875,206.61648559570312,270.08589475979994,521.6562086548496,211.07079600988305,265.49886601188945,511.3514766558802,205.2981596683369,269.65711516237894,516.5385956979154,207.8149540137207,50194600,22374700,180267300
2025-11-04,269.2781982421875,511.0931701660156,198.43690490722656,270.72408938596277,512.3054631947169,203.71017785907821,266.86501191822913,504.64399323613884,197.67786326579136,267.5730004152706,508.53933673798264,202.7414122562426,49274800,20958700,188919300
2025-11-05,269.3779296875,503.96826171875,194.9613494873047,270.9335263776032,511.5900049686576,202.66152000582164,266.17696342424256,503.39189488693165,194.40205001057666,267.8522167164328,510.06960470137113,198.51681234435117,43683100,23024300,171350300
2025-11-06,269.0089416503906,493.9715576171875,187.84043884277344,272.6287059365568,502.51744045426454,197.3682807609907,267.1342708755924,492.6896676102462,186.14260723026618,267.1342708755924,502.47768369906356,196.16981228388872,51204000,27406500,223029800
2025-11-07,267.7126159667969,493.6933288574219,187.91030883789062,271.5218466038475,496.2372153715257,188.08010568481336,266.0173996929098,490.1457889557352,178.682089465448,269.03885049148494,493.8225155697467,184.66444902638756,48227400,24019800,264942300
2025-11-10,268.93035888671875,502.8155517578125,198.7964630126953,273.22240319845355,503.66020845333964,199.68532876518447,266.96401085683,495.66085193460816,193.5431531870904,268.46122924118225,496.8930687697553,194.8614791513322,41312400,26101500,198897100
2025-11-11,274.73956298828125,505.47869873046875,192.91395568847656,275.3983427074405,506.39292220487647,195.17107140540628,269.2996575494418,499.1885488885237,191.05632435423007,269.3096487524697,501.62311202080633,194.91140808059743,46208300,17980000,176483300
2025-11-12,272.9628601074219,507.9232177734375,193.55313110351562,275.2186787593472,508.4498810705414,195.64046510157328,271.19615348009904,495.9788447581273,190.8865341091802,274.49002155435767,506.1543908722183,195.47068348463264,48398000,26574900,154935300
2025-11-13,272.44384765625,500.12261962890625,186.62197875976562,276.1868935731559,510.2683558569415,191.1961465947379,271.5854266195937,498.13520636364063,183.61581837719615,273.6016697208788,507.09842927280135,190.8066439854392,49602800,25273100,207423100
